"profile","design_id","design_label","design_name","design_short_name","design_group","tau","gamma","rho","spillover_type","n_design_resamples","n_outcome_resamples","mean_estimate","bias","sd","mse","coverage","power","fail_rate","n_valid_est"
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.6,0.5,"both",25,10,3.03968539304118,0.0396853930411842,0.510908500463368,0.261558316283178,0.908,1,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.7,0,"both",25,10,2.94967995165654,-0.0503200483434575,0.470811783022143,0.223309187357648,0.928,1,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.7,0.01,"both",25,10,2.9959589050287,-0.0040410949713021,0.499267446867332,0.248287242015985,0.924,1,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.7,0.2,"both",25,10,3.02597809056812,0.0259780905681241,0.439330190222443,0.19291383316629,0.96,1,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.7,0.5,"both",25,10,3.04313279900909,0.0431327990090925,0.451687557433039,0.205066001292025,0.94,1,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.8,0,"both",25,10,2.93655242567101,-0.0634475743289947,0.484398740265948,0.237729165701186,0.904,1,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.8,0.01,"both",25,10,3.04601785252797,0.0460178525279738,0.479026066523858,0.230665751270968,0.924,1,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.8,0.2,"both",25,10,2.97922518694829,-0.0207748130517056,0.506404158075587,0.255850983488312,0.9,1,0,250
"full",1,"Design 1","Block Stratified Sampling","Block Stratified","Blocking",3,0.8,0.5,"both",25,10,3.02229997668228,0.0222999766822826,0.514076582568915,0.263714922774782,0.916,1,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.5,0,"both",25,10,0.784440289213203,-0.0155597107867967,0.536070276178906,0.286463960238287,0.904,0.34,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.5,0.01,"both",25,10,0.795498020805164,-0.00450197919483645,0.501380355472113,0.2503969996266,0.932,0.36,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.5,0.2,"both",25,10,0.816265673500611,0.0162656735006106,0.550119791991835,0.301685830533404,0.916,0.36,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.5,0.5,"both",25,10,0.832939100806502,0.0329391008065023,0.539800547866026,0.291304077312497,0.916,0.332,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.6,0,"both",25,10,0.827106609562212,0.0271066095622115,0.523809572813256,0.27401373097848,0.932,0.388,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.6,0.01,"both",25,10,0.821252970724887,0.0212529707248867,0.526245515148935,0.276278293610143,0.928,0.356,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.6,0.2,"both",25,10,0.79934833359085,-0.00065166640914968,0.535769794484194,0.285901500260017,0.92,0.344,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.6,0.5,"both",25,10,0.858079454702547,0.058079454702547,0.550083308335041,0.304754502582933,0.912,0.428,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.7,0,"both",25,10,0.855745300591028,0.0557453005910283,0.504716218605284,0.256827046015908,0.928,0.408,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.7,0.01,"both",25,10,0.800989523488819,0.000989523488818869,0.546183294142311,0.297123905193681,0.932,0.388,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.7,0.2,"both",25,10,0.778606765796378,-0.0213932342036222,0.490238404755391,0.239830029192813,0.952,0.36,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.7,0.5,"both",25,10,0.815568379723429,0.0155683797234289,0.538682252048528,0.289260228844598,0.928,0.4,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.8,0,"both",25,10,0.809450838727167,0.00945083872716666,0.52214914280598,0.271638486776334,0.936,0.384,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.8,0.01,"both",25,10,0.835348365216245,0.0353483652162445,0.514154874605166,0.264547321063394,0.932,0.38,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.8,0.2,"both",25,10,0.798568364426003,-0.00143163557399658,0.485368047733676,0.234641862774174,0.948,0.384,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",0.8,0.8,0.5,"both",25,10,0.852867501014942,0.0528675010149422,0.525653570605732,0.278001402248958,0.924,0.396,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0,"both",25,10,1.04367125364638,0.0436712536463813,0.520609790164944,0.271857593796172,0.948,0.58,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.01,"both",25,10,1.01771099928569,0.0177109992856896,0.499949835623574,0.249263718283177,0.944,0.508,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.2,"both",25,10,1.00881393083143,0.00881393083142965,0.515116442389404,0.264361254799738,0.936,0.544,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.5,0.5,"both",25,10,1.03124676424302,0.0312467642430182,0.488931922111545,0.23907456703751,0.96,0.512,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.6,0,"both",25,10,1.06752503405803,0.0675250340580318,0.527875825147589,0.282097905452685,0.936,0.576,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.6,0.01,"both",25,10,0.924202843663744,-0.0757971563362562,0.532083353302858,0.287725452991229,0.92,0.48,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.6,0.2,"both",25,10,1.06609117059571,0.0660911705957133,0.485616544532016,0.239248177440634,0.956,0.576,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.6,0.5,"both",25,10,1.01742845710939,0.017428457109389,0.514552013929204,0.264008471055659,0.936,0.536,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.7,0,"both",25,10,1.01751112292225,0.0175111229222507,0.542496284074752,0.293431648787972,0.912,0.512,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.7,0.01,"both",25,10,1.00688378636929,0.00688378636929327,0.540442306410872,0.290956961527246,0.928,0.524,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.7,0.2,"both",25,10,1.03799906884666,0.037999068846657,0.482561789425158,0.233378346323971,0.956,0.528,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.7,0.5,"both",25,10,1.01903258152221,0.0190325815222101,0.525159796804036,0.275051880089939,0.952,0.512,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.8,0,"both",25,10,1.03363220712845,0.0336322071284463,0.487441112108428,0.237779567778738,0.94,0.572,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.8,0.01,"both",25,10,1.0489375191219,0.0489375191219001,0.567258651769981,0.322890129273671,0.904,0.56,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.8,0.2,"both",25,10,1.01491415204755,0.0149141520475453,0.532290447614656,0.282422220070621,0.948,0.512,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1,0.8,0.5,"both",25,10,0.994873981422816,-0.00512601857718418,0.514700972817114,0.263883699119662,0.94,0.52,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.5,0,"both",25,10,1.46139722445742,-0.0386027755425764,0.513855215777752,0.264481168330463,0.936,0.828,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.5,0.01,"both",25,10,1.52375863418226,0.0237586341822628,0.502679553915175,0.252240459686869,0.932,0.864,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.5,0.2,"both",25,10,1.44467721958372,-0.0553227804162846,0.542296749078098,0.295970031037419,0.908,0.812,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.5,0.5,"both",25,10,1.49756697221625,-0.00243302778374594,0.4988761625358,0.247887835468456,0.948,0.852,0,250
"full",2,"Design 2","High Incidence Focus","Hi-Inc. Focus","Stratified",1.5,0.6,0,"both",25,10,1.54224219317258,0.0422421931725771,0.516770195182926,0.267767631774911,0.952,0.852,0,250
